feature_name,feature_group,model_role,include_for_audit,target_game_univ_auc,target_game_univ_logloss_lift_pct,target_game_univ_p,target_game_univ_q_fdr,target_game_univ_odds_ratio,target_game_multivar_coef_std,target_game_sign_stability_pct,target_game_perm_importance_pctile,target_game_shap_importance_pctile,target_game_ablation_logloss_delta_pct,target_champ_univ_auc,target_champ_univ_logloss_lift_pct,target_champ_univ_p,target_champ_univ_q_fdr,target_champ_univ_odds_ratio,target_champ_multivar_coef_std,target_champ_sign_stability_pct,target_champ_perm_importance_pctile,target_champ_shap_importance_pctile,target_champ_ablation_logloss_delta_pct,target_roundflags_auc_avg,target_roundflags_perm_importance_pctile,importance_rank_stability_std,cutoff_significance_band,cutoff_univariate_band,cutoff_multivariate_band,cutoff_stability_band,overall_recommendation,recommendation_reason,notes
Season,identity_or_label,id_or_label,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeamID,identity_or_label,id_or_label,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TeamName,identity_or_label,id_or_label,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ConfAbbrev,identity_or_label,id_or_label,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_tourney_team,identity_or_label,id_or_label,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tourney_seed_num,identity_or_label,id_or_label,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_tempo,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_ranktempo,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_adjtempo,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_rankadjtempo,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_oe,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_rankoe,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_adjoe,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_rankadjoe,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_de,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_rankde,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_adjde,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_rankadjde,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_adjem,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kp_rankadjem,kenpom,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_games,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_wins,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_avg_pts_for,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_avg_pts_against,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_avg_margin,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_margin_std,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_fgm,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_fga,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_fgm3,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_fga3,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_ftm,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_fta,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_orb,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_drb,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_ast,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_to,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_stl,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_blk,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_pf,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_fgm,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_fga,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_fgm3,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_fga3,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_ftm,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_fta,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_or,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_dr,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_ast,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_to,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_stl,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_blk,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_pf,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_win_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_fg_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_fg3_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_ft_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_fg2_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_efg_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_to_rate,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_or_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_dr_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_ft_rate,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_ast_to_ratio,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_fg_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_fg3_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_ft_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_fg2_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_efg_pct,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_to_rate,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rs_opp_ft_rate,regular_season,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lms_slope,engineered_lms,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lms_r2,engineered_lms,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lms_residual_std,engineered_lms,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lms_consistency,engineered_lms,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lms_margin_vs_weak_surplus,engineered_lms,feature,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
