objective,variant,Season,test_log_loss,test_auc,upset_acc_seedgap_ge_5,champ_top1_rate,champ_top4_rate
bracket,raw,2022,0.6406989462305829,0.7155268433949655,0.7209302325581395,,
bracket,raw,2023,0.6294216692078654,0.7402539541100467,0.7837837837837838,,
bracket,raw,2024,0.5725482918264666,0.7674314992203164,0.75,,
bracket,raw,2025,0.45565258977017337,0.8674537758966362,0.8888888888888888,,
bracket,sigmoid,2022,0.6331637565627432,0.7139674760525729,0.7209302325581395,,
bracket,sigmoid,2023,0.6227079617735796,0.7400311873468478,0.7837837837837838,,
bracket,sigmoid,2024,0.568911098547886,0.7678770327467143,0.75,,
bracket,sigmoid,2025,0.46126028539292546,0.8670082423702383,0.8888888888888888,,
bracket,isotonic,2022,0.6552225119775977,0.7088438404989975,0.7209302325581395,,
bracket,isotonic,2023,1.0958351863694782,0.7459345065716194,0.7837837837837838,,
bracket,isotonic,2024,0.5766673773351856,0.7698819336155046,0.75,,
bracket,isotonic,2025,0.4606850595671388,0.8666740922254399,0.8888888888888888,,
champion,raw,2022,0.05613542269313204,0.9104477611940298,,0.0,0.0
champion,raw,2023,0.06924357318402452,0.8805970149253731,,0.0,0.0
champion,raw,2024,0.04269818767738959,0.9850746268656716,,0.0,1.0
champion,raw,2025,0.0416281675909922,0.9850746268656716,,0.0,1.0
champion,sigmoid,2022,0.05880320288429828,0.9253731343283582,,0.0,0.0
champion,sigmoid,2023,0.06570593404763303,0.8656716417910448,,0.0,0.0
champion,sigmoid,2024,0.05254007455093675,0.9850746268656716,,0.0,1.0
champion,sigmoid,2025,0.04979905526460174,0.9850746268656716,,0.0,1.0
champion,isotonic,2022,0.05765459901986478,0.9477611940298506,,0.0,0.0
champion,isotonic,2023,0.0707858735044923,0.8507462686567165,,0.0,0.0
champion,isotonic,2024,0.04554642338645193,0.9850746268656717,,0.0,1.0
champion,isotonic,2025,0.039409440557736805,0.9850746268656716,,0.0,1.0
