model_name,season,r1_correct,r1_winner_set_error,r1_points,r1_max_points,r2_correct,r2_winner_set_error,r2_points,r2_max_points,r3_correct,r3_winner_set_error,r3_points,r3_max_points,r4_correct,r4_winner_set_error,r4_points,r4_max_points,r5_correct,r5_winner_set_error,r5_points,r5_max_points,r6_correct,r6_winner_set_error,r6_points,r6_max_points,total_correct_winners,total_winner_set_error,total_points,max_points,points_pct,point_gap
rf_raw,2023,23,18,23,32,11,10,22,32,3,10,12,32,0,8,0,32,0,4,0,32,0,2,0,32,37,52,57,192,0.296875,135
gbm_sigmoid,2023,25,14,25,32,11,10,22,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,38,50,55,192,0.2864583333333333,137
rf_sigmoid,2023,24,16,24,32,11,10,22,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,37,52,54,192,0.28125,138
gbm_raw,2023,25,14,25,32,10,12,20,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,37,52,53,192,0.2760416666666667,139
logreg_isotonic,2023,24,16,24,32,10,12,20,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,36,54,52,192,0.2708333333333333,140
locked_baseline_sigmoid,2023,24,16,24,32,9,14,18,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,35,56,50,192,0.2604166666666667,142
logreg_raw,2023,24,16,24,32,9,14,18,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,35,56,50,192,0.2604166666666667,142
logreg_sigmoid,2023,24,16,24,32,9,14,18,32,2,12,8,32,0,8,0,32,0,4,0,32,0,2,0,32,35,56,50,192,0.2604166666666667,142
rf_sigmoid,2024,23,18,23,32,13,6,26,32,2,12,8,32,2,4,16,32,2,0,32,32,1,0,32,32,43,40,137,192,0.7135416666666666,55
rf_raw,2024,23,18,23,32,12,8,24,32,2,12,8,32,2,4,16,32,2,0,32,32,1,0,32,32,42,42,135,192,0.703125,57
gbm_raw,2024,22,20,22,32,13,6,26,32,3,10,12,32,1,6,8,32,1,2,16,32,1,0,32,32,41,44,116,192,0.6041666666666666,76
gbm_sigmoid,2024,22,20,22,32,12,8,24,32,2,12,8,32,1,6,8,32,1,2,16,32,1,0,32,32,39,48,110,192,0.5729166666666666,82
locked_baseline_sigmoid,2024,20,24,20,32,13,6,26,32,3,10,12,32,2,4,16,32,1,2,16,32,0,2,0,32,39,48,90,192,0.46875,102
logreg_raw,2024,20,24,20,32,13,6,26,32,3,10,12,32,2,4,16,32,1,2,16,32,0,2,0,32,39,48,90,192,0.46875,102
logreg_sigmoid,2024,20,24,20,32,13,6,26,32,3,10,12,32,2,4,16,32,1,2,16,32,0,2,0,32,39,48,90,192,0.46875,102
logreg_isotonic,2024,20,24,20,32,13,6,26,32,3,10,12,32,1,6,8,32,1,2,16,32,0,2,0,32,38,50,82,192,0.4270833333333333,110
locked_baseline_sigmoid,2025,25,14,25,32,9,14,18,32,7,2,28,32,4,0,32,32,2,0,32,32,0,2,0,32,47,32,135,192,0.703125,57
logreg_raw,2025,25,14,25,32,9,14,18,32,7,2,28,32,4,0,32,32,2,0,32,32,0,2,0,32,47,32,135,192,0.703125,57
logreg_sigmoid,2025,25,14,25,32,9,14,18,32,7,2,28,32,4,0,32,32,2,0,32,32,0,2,0,32,47,32,135,192,0.703125,57
logreg_isotonic,2025,25,14,25,32,9,14,18,32,7,2,28,32,4,0,32,32,2,0,32,32,0,2,0,32,47,32,135,192,0.703125,57
gbm_raw,2025,26,12,26,32,13,6,26,32,7,2,28,32,4,0,32,32,1,2,16,32,0,2,0,32,51,24,128,192,0.6666666666666666,64
gbm_sigmoid,2025,26,12,26,32,13,6,26,32,7,2,28,32,4,0,32,32,0,4,0,32,0,2,0,32,50,26,112,192,0.5833333333333334,80
rf_raw,2025,26,12,26,32,11,10,22,32,7,2,28,32,4,0,32,32,0,4,0,32,0,2,0,32,48,30,108,192,0.5625,84
rf_sigmoid,2025,26,12,26,32,11,10,22,32,6,4,24,32,4,0,32,32,0,4,0,32,0,2,0,32,47,32,104,192,0.5416666666666666,88
