objective,model_family,calibration,train_seasons,test_seasons,test_log_loss,test_auc,upset_acc_seedgap_ge_5,champ_top1_rate,champ_top4_rate,rows_train,rows_test,n_features
bracket,logistic,raw,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.5991556137400983,0.7593840498997548,0.7564102564102564,,,2362,536,192
champion,logistic,raw,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.06636449758477025,0.8927238805970149,,0.25,0.75,1200,272,190
bracket,logistic,sigmoid,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.5781520573649163,0.7626420138115393,0.7628205128205128,,,2362,536,192
champion,logistic,sigmoid,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.05799952017142916,0.9085820895522388,,0.25,0.75,1200,272,190
bracket,logistic,isotonic,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.5839671750919974,0.7604561149476498,0.7403846153846154,,,2362,536,192
champion,logistic,isotonic,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.053985638583953416,0.9225746268656717,,0.5,0.75,1200,272,190
bracket,tree,raw,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.6403190272461486,0.753731343283582,0.75,,,2362,536,192
champion,tree,raw,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.12685561355580213,0.9095149253731343,,0.0,0.25,1200,272,190
bracket,tree,sigmoid,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.5883756254634173,0.7626698596569392,0.7435897435897436,,,2362,536,192
champion,tree,sigmoid,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.062085738134645116,0.9319029850746269,,0.25,0.25,1200,272,190
bracket,tree,isotonic,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.5960161541986932,0.7640273446201828,0.7532051282051282,,,2362,536,192
champion,tree,isotonic,2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2021,2022|2023|2024|2025,0.05767616389748524,0.9253731343283582,,0.0,0.5,1200,272,190
